Hour number,Solar,Wind,SolarTracking
460,0,0.001100018,0.001099166
461,0,0.108490958,0.120256593
462,0,0.3228729,0.453425095
463,0,0.529648879,0.651098366
464,0.1172183,0.682257535,0.74418684
465,0.205253675,0.786768751,0.800716685
466,0.205080847,0.827079075,0.828302751
467,0.180626974,0.813813816,0.854949026
468,0.143068551,0.740607736,0.880738232
469,0.090851066,0.604722406,0.897332871
470,0.050299511,0.413531816,0.89778257
471,0,0.197869409,0.401238126
472,0,0.037128916,0
473,0,0,0
474,0,0,0
475,0,0,0
476,0,0,0
477,0,0,0
478,0.065999538,0,0
479,0.231030454,0,0
480,0.387599312,0,0
481,0.335466031,0,0
482,0.292063778,0,0
483,0.245941781,0,0
484,0.214198632,0.000993581,0.000992848
485,0.147249527,0.105367561,0.1137799
486,0.122694891,0.319766087,0.446852606
487,0.556348599,0.519112611,0.62956616
488,0.724133587,0.68791875,0.752120893
489,0.598895056,0.792324149,0.806764499
490,0.454662921,0.832408563,0.833594741
491,0.41227843,0.821011561,0.862472006
492,0.314781051,0.741597889,0.8820978
493,0.216512297,0.60864373,0.90341225
494,0.13511086,0.417034806,0.906863163
495,0.091827393,0.199988071,0.407512008
496,0.064301375,0.03786668,0
497,0.062086858,0,0
498,0.090770602,0,0
499,0.139608255,0,0
500,0.190830949,0,0
501,0.294698786,0,0
502,0.58308269,0,0
503,0.698671648,0,0
504,0.670566304,0,0
505,0.506384431,0,0
506,0.299422769,0,0
507,0.168361165,0,0
508,0.096666479,0.000956852,0.000956177
509,0.059802865,0.10660939,0.116510328
510,0.053718817,0.322156729,0.45062624
511,0.412331982,0.534192671,0.657664497
512,0.541821637,0.687324383,0.750628742
513,0.514561037,0.792860222,0.807210605
514,0.452587241,0.833101183,0.834223606
515,0.441745841,0.82098914,0.861945393
516,0.3956573,0.743739787,0.884299507
517,0.305067246,0.607844088,0.903287074
518,0.219098006,0.411543999,0.899003062
519,0.162744767,0.201132699,0.411064245
520,0.119077692,0.03823202,0
521,0.135794665,0,0
522,0.333249916,0,0
523,0.738199803,0,0
524,0.83090664,0,0
525,0.805122714,0,0
526,0.772619128,0,0
527,0.660781301,0,0
528,0.532345365,0,0
529,0.391539106,0,0
530,0.275769511,0,0
531,0.176894035,0,0
532,0.114818759,0.000894708,0.000894104
533,0.115793327,0.105254097,0.113710579
534,0.286043938,0.320731527,0.447671522
535,0.781426142,0.534593103,0.658231187
536,0.784931495,0.691339629,0.7553927
537,0.786205392,0.798418165,0.813024179
538,0.750598038,0.839579287,0.840669322
539,0.672632288,0.826228775,0.867308136
540,0.559183548,0.739395237,0.879025389
541,0.471557068,0.583545405,0.872716192
542,0.404939914,0.380099022,0.856371909
543,0.409692779,0.187420247,0.418352473
544,0.376750459,0.035807546,0
545,0.487380148,0,0
546,0.718777701,0,0
547,0.802182271,0,0
548,0.783916447,0,0
549,0.717844777,0,0
550,0.504937525,0,0
551,0.317150347,0,0
552,0.183102159,0,0
553,0.121324339,0,0
554,0.083172085,0,0
555,0.067883009,0,0
556,0.05801584,0.000858559,0.000858003
557,0.049954915,0.104810712,0.112706571
558,0.056482771,0.319337001,0.443586868
559,0.450649758,0.531616964,0.653510475
560,0.834357497,0.692915637,0.757338148
561,0.871667477,0.798785332,0.813592076
562,0.818695503,0.845848308,0.846911064
563,0.76501229,0.819886738,0.860011669
564,0.652668756,0.739240612,0.878244467
565,0.503040053,0.59624594,0.888461418
566,0.478504967,0.380794636,0.855943358
567,0.46233994,0.187239263,0.421344867
568,0.407404131,0.03741705,0
569,0.515724302,0,0
570,0.704342175,0,0
571,0.704083783,0,0
572,0.621749892,0,0
573,0.4698085,0,0
574,0.25797783,0,0
575,0.116262613,0,0
576,0.065101433,0,0
577,0.053171166,0,0
578,0.0428967,0,0
579,0.042790257,0,0
580,0.071679859,0.000801352,0.000800852
581,0.104752432,0.104359083,0.112037534
582,0.094977901,0.318918152,0.443042403
583,0.201951648,0.531312885,0.653088411
584,0.430211737,0.685144146,0.748402962
585,0.529339753,0.792224972,0.806843692
586,0.407134556,0.821969439,0.82290862
587,0.349527614,0.780691161,0.815824992
588,0.322829228,0.678270658,0.794820942
589,0.334917922,0.573197234,0.85436661
590,0.356846313,0.338523591,0.772754734
591,0.395462662,0.143800174,0.370812412
592,0.423380422,0.036437212,0
593,0.631940128,0,0
594,0.821081141,0,0
595,0.884635285,0,0
596,0.871831429,0,0
597,0.769278725,0,0
598,0.504993884,0,0
599,0.196316848,0,0
600,0.044167529,0,0
601,0,0,0
602,0,0,0
603,0,0,0
604,0,0.000756786,0.000756331
605,0,0.099525763,0.101470307
606,0.075322553,0.314371151,0.430742941
607,0.288033424,0.515395799,0.620391725
608,0.396642509,0.681807533,0.743505797
609,0.474802293,0.788670966,0.802902016
610,0.383451211,0.834509564,0.835454386
611,0.43480062,0.804587082,0.842387496
612,0.492056421,0.740002236,0.877192212
613,0.542800976,0.537428837,0.793583876
614,0.60047179,0.39495218,0.876711348
615,0.627162541,0.181889144,0.426058434
616,0.558919348,0.034798121,0
617,0.702761134,0,0
618,0.87652109,0,0
619,0.922886681,0,0
620,0.917127851,0,0
621,0.879146963,0,0
622,0.823976955,0,0
623,0.597637061,0,0
624,0.327482569,0,0
625,0.133980883,0,0
626,0.052994842,0,0
627,0,0,0
628,0,0.000735156,0.00073473
629,0,0.102457452,0.108188004
630,0,0.315006545,0.433908509
631,0.144089224,0.524287022,0.638296678
632,0.338609275,0.684299274,0.746489927
633,0.485931594,0.784788313,0.798676202
634,0.470875037,0.803612066,0.804384947
635,0.499175458,0.770455136,0.802565422
636,0.490163428,0.694119293,0.81557663
637,0.496402551,0.561584938,0.83495816
638,0.482978981,0.356222367,0.809453087
639,0.507314863,0.163488034,0.405536417
640,0.509723701,0.03255953,0
641,0.698853215,0,0
642,0.85560934,0,0
643,0.908636951,0,0
644,0.915616508,0,0
645,0.911794949,0,0
646,0.874317152,0,0
647,0.754876365,0,0
648,0.511654626,0,0
649,0.251653852,0,0
650,0.105847616,0,0
651,0.049890029,0,0
652,0.07149569,0.000691234,0.000690846
653,0.150846869,0.102367135,0.1081854
654,0.298161552,0.316438718,0.438030669
655,0.7271124,0.527664515,0.643358748
656,0.874146825,0.691630684,0.755912718
657,0.880514263,0.803417585,0.818538044
658,0.846854005,0.845758107,0.846653725
659,0.770126828,0.832265024,0.872007802
660,0.662815252,0.757071138,0.896705008
661,0.609864472,0.621650127,0.918255986
662,0.559712198,0.425071108,0.918535978
663,0.501028643,0.203771341,0.436608879
664,0.373007268,0.041369409,0
665,0.512259245,0,0
666,0.825941256,0,0
667,0.923974879,0,0
668,0.925758954,0,0
669,0.899287013,0,0
670,0.834638696,0,0
671,0.718155497,0,0
672,0.700475538,0,0
673,0.695040893,0,0
674,0.629004304,0,0
675,0.525661606,0,0
676,0.435129928,0.000695906,0.000695527
677,0.439370959,0.103772337,0.111285311
678,0.782866201,0.317280198,0.437226282
679,0.884612317,0.540690707,0.669964974
680,0.848357706,0.701430369,0.768270783
681,0.80355109,0.812666233,0.828447444
682,0.669933739,0.853273715,0.854156082
683,0.603379677,0.839551677,0.879421093
684,0.541197266,0.763994155,0.903866205
685,0.506027561,0.625872384,0.9223073
686,0.494337478,0.428827987,0.923161082
687,0.498521415,0.208327698,0.441502638
688,0.494938681,0.042631578,0
689,0.63847113,0,0
690,0.828517342,0,0
691,0.877363372,0,0
692,0.868531672,0,0
693,0.818015086,0,0
694,0.669225968,0,0
695,0.439144586,0,0
696,0.23934841,0,0
697,0.147786175,0,0
698,0.096934928,0,0
699,0.062775801,0,0
700,0.03874393,0.000684031,0.000683667
701,0,0.104779436,0.112740059
702,0,0.32339059,0.454097999
703,0.08721173,0.536400998,0.661567833
704,0.433776881,0.695323105,0.760764625
705,0.585385452,0.806733987,0.822306267
706,0.450980819,0.849459097,0.850303734
707,0.410411752,0.83769432,0.877066096
708,0.392622454,0.743699493,0.878623213
709,0.421158355,0.61820678,0.910645892
710,0.447214123,0.432128467,0.924654256
711,0.450794199,0.2106807,0.442406252
712,0.359290333,0.043447598,0
713,0.494436112,0,0
714,0.73605286,0,0
715,0.854614637,0,0
716,0.886054263,0,0
717,0.869253466,0,0
718,0.801435973,0,0
719,0.653841693,0,0
720,0.355724846,0,0
721,0.149029407,0,0
722,0.058385971,0,0
723,0.029144781,0,0
724,0,0.000664059,0.000663713
725,0,0.103393416,0.109837795
726,0,0.31914558,0.44421086
727,0,0.532997443,0.657043801
728,0.170447076,0.693616251,0.758706107
729,0.356265188,0.804659072,0.820298959
730,0.30466474,0.849201929,0.850022074
731,0.330110075,0.839812243,0.87903637
732,0.337373751,0.765597205,0.903433354
733,0.385071681,0.630083949,0.923293094
734,0.466562886,0.432408679,0.922791598
735,0.543299374,0.21273353,0.443623756
736,0.563096203,0.043600751,0
737,0.764463137,0,0
738,0.889211672,0,0
739,0.918146782,0,0
740,0.923198636,0,0
741,0.882573984,0,0
742,0.751301883,0,0
743,0.403621642,0,0
744,0.129949559,0,0
745,0.046319401,0,0
746,0.053389325,0,0
747,0.068905424,0,0
748,0.060136864,0.000641296,0.000640969
749,0.038220352,0.10196779,0.106698492
750,0,0.319392026,0.444657757
751,0.120708863,0.528960811,0.644849187
752,0.397072115,0.694304201,0.759694525
753,0.628259331,0.804430639,0.819927762
754,0.723607276,0.828363664,0.829081194
755,0.779362716,0.83886635,0.877944434
756,0.767718578,0.758337858,0.896213958
757,0.753871601,0.612260353,0.904345643
758,0.763088347,0.428120058,0.922543327
759,0.792549865,0.206278382,0.452817609
760,0.732161773,0.043076645,0
761,0.796689242,0,0
762,0.868036439,0,0
763,0.879274289,0,0
764,0.830220712,0,0
765,0.681643656,0,0
766,0.434746343,0,0
767,0.188676722,0,0
768,0.085711657,0,0
769,0.057828805,0,0
770,0.053475895,0,0
771,0.058649183,0,0
772,0.071356401,0.000616668,0.000616359
773,0.085942389,0.104407517,0.112157951
774,0.037809194,0.323114606,0.454392334
775,0.099087953,0.542677424,0.676237217
776,0.322403407,0.70205467,0.769835516
777,0.47677576,0.810852507,0.827003747
778,0.386392699,0.853226693,0.854010736
779,0.429125682,0.840760011,0.879675567
780,0.43595905,0.76766723,0.905292581
781,0.414960586,0.631887815,0.924491145
782,0.373035399,0.43589184,0.925392523
783,0.324373654,0.213120026,0.449953633
784,0.259086671,0.044314468,0
785,0.322650133,0,0
786,0.489483986,0,0
787,0.633288628,0,0
788,0.657180829,0,0
789,0.515685255,0,0
790,0.293571468,0,0
791,0.14629374,0,0
792,0.07388024,0,0
793,0.039738045,0,0
794,0,0,0
795,0,0,0
796,0,0.000622724,0.000622416
797,0,0.104403326,0.112333671
798,0,0.324171944,0.457722468
799,0,0.540490351,0.671912396
800,0.189849147,0.696707664,0.763584736
801,0.421731744,0.809542662,0.825759549
802,0.394331711,0.8533911,0.854158559
803,0.443245716,0.842354503,0.881212871
804,0.448138466,0.769726545,0.907225656
805,0.423530272,0.632712809,0.924767267
806,0.401514292,0.437351024,0.92614591
807,0.382750345,0.215678553,0.452727627
808,0.334381525,0.045175514,0
809,0.436406714,0,0
810,0.667039587,0,0
811,0.803306451,0,0
812,0.737762099,0,0
813,0.466034244,0,0
814,0.200991791,0,0
815,0.103955003,0,0
816,0.078682452,0,0
817,0.075688574,0,0
818,0.079934952,0,0
819,0.093364027,0,0
820,0.095301209,0.00060137,0.000601076
821,0.077756235,0.102843312,0.109089802
822,0.0381693,0.320749802,0.448165872
823,0.166667394,0.53767506,0.665639038
824,0.673208328,0.698129253,0.764739728
825,0.816733398,0.810633032,0.826788425
826,0.809498666,0.856946372,0.857701438
827,0.814433419,0.845834476,0.884942654
828,0.799699741,0.772843403,0.911847046
829,0.794419146,0.63600797,0.932002308
830,0.794136611,0.438509248,0.933774836
831,0.814146596,0.21405239,0.458060306
832,0.81367346,0.045180972,0
833,0.903700984,0,0
834,0.927525371,0,0
835,0.927321611,0,0
836,0.914788976,0,0
837,0.785294156,0,0
838,0.507700421,0,0
839,0.197213789,0,0
